Town/County,FIPS,Year,Category,Measure Type,Variable,Value
Andover,901301080,2009,All Industries,US Dollars,Annual Average Wage,31755
Andover,901301080,2009,Government,Number,Annual Average Employment,93
Andover,901301080,2009,Government,US Dollars,Annual Average Wage,38891
Andover,901301080,2009,Government,Number,Number of Employers,6
Andover,901301080,2010,All Industries,Number,Annual Average Employment,535
Andover,901301080,2010,All Industries,US Dollars,Annual Average Wage,31787
Andover,901301080,2010,All Industries,Number,Number of Employers,52
Andover,901301080,2010,Government,Number,Number of Employers,5
Andover,901301080,2010,Government,Number,Annual Average Employment,90
Andover,901301080,2010,Government,US Dollars,Annual Average Wage,39796
Andover,901301080,2011,All Industries,Number,Annual Average Employment,359
Andover,901301080,2011,All Industries,US Dollars,Annual Average Wage,35998
Andover,901301080,2011,All Industries,Number,Number of Employers,53
Andover,901301080,2011,Government,US Dollars,Annual Average Wage,41104
Andover,901301080,2011,Government,Number,Number of Employers,4
Andover,901301080,2011,Government,Number,Annual Average Employment,86
Andover,901301080,2012,All Industries,US Dollars,Annual Average Wage,33614
Andover,901301080,2012,All Industries,Number,Annual Average Employment,361
Andover,901301080,2012,All Industries,Number,Number of Employers,51
Andover,901301080,2012,Government,Number,Annual Average Employment,90
Andover,901301080,2012,Government,US Dollars,Annual Average Wage,38605
Andover,901301080,2012,Government,Number,Number of Employers,4
Andover,901301080,2013,All Industries,Number,Number of Employers,50
Andover,901301080,2013,All Industries,US Dollars,Annual Average Wage,35275
Andover,901301080,2013,All Industries,Number,Annual Average Employment,336
Andover,901301080,2013,Government,US Dollars,Annual Average Wage,42564
Andover,901301080,2013,Government,Number,Number of Employers,4
Andover,901301080,2013,Government,Number,Annual Average Employment,83
Andover,901301080,2014,All Industries,US Dollars,Annual Average Wage,38108
Andover,901301080,2014,All Industries,Number,Annual Average Employment,381
Andover,901301080,2014,All Industries,Number,Number of Employers,50
Andover,901301080,2014,Government,US Dollars,Annual Average Wage,43123
Andover,901301080,2014,Government,Number,Annual Average Employment,87
Andover,901301080,2014,Government,Number,Number of Employers,4
Andover,901301080,2015,All Industries,Number,Number of Employers,52
Andover,901301080,2015,All Industries,US Dollars,Annual Average Wage,35156
Andover,901301080,2015,All Industries,Number,Annual Average Employment,372
Andover,901301080,2015,Government,Number,Annual Average Employment,81
Andover,901301080,2015,Government,US Dollars,Annual Average Wage,42981
Andover,901301080,2015,Government,Number,Number of Employers,4
Ansonia,900901220,2004,All Industries,Number,Number of Employers,337
Ansonia,900901220,2004,All Industries,Number,Annual Average Employment,3743
Ansonia,900901220,2004,All Industries,US Dollars,Annual Average Wage,36114
Ansonia,900901220,2004,Government,Number,Number of Employers,19
Ansonia,900901220,2004,Government,Number,Annual Average Employment,703
Ansonia,900901220,2004,Government,US Dollars,Annual Average Wage,40656
Ansonia,900901220,2005,All Industries,Number,Annual Average Employment,3794
Ansonia,900901220,2005,All Industries,US Dollars,Annual Average Wage,36265
Ansonia,900901220,2005,All Industries,Number,Number of Employers,317
Ansonia,900901220,2005,Government,US Dollars,Annual Average Wage,40706
Ansonia,900901220,2005,Government,Number,Annual Average Employment,748
Ansonia,900901220,2005,Government,Number,Number of Employers,19
Ansonia,900901220,2006,All Industries,Number,Number of Employers,338
Ansonia,900901220,2006,All Industries,Number,Annual Average Employment,3753
Ansonia,900901220,2006,All Industries,US Dollars,Annual Average Wage,36920
Ansonia,900901220,2006,Government,Number,Number of Employers,19
Ansonia,900901220,2006,Government,US Dollars,Annual Average Wage,45003
Ansonia,900901220,2006,Government,Number,Annual Average Employment,699
Ansonia,900901220,2007,All Industries,Number,Annual Average Employment,3724
Ansonia,900901220,2007,All Industries,US Dollars,Annual Average Wage,36999
Ansonia,900901220,2007,All Industries,Number,Number of Employers,329
Ansonia,900901220,2007,Government,Number,Number of Employers,19
Ansonia,900901220,2007,Government,US Dollars,Annual Average Wage,47494
Ansonia,900901220,2007,Government,Number,Annual Average Employment,691
Ansonia,900901220,2008,All Industries,US Dollars,Annual Average Wage,38328
Ansonia,900901220,2008,All Industries,Number,Annual Average Employment,3650
Ansonia,900901220,2008,All Industries,Number,Number of Employers,328
Ansonia,900901220,2008,Government,US Dollars,Annual Average Wage,50584
Ansonia,900901220,2008,Government,Number,Annual Average Employment,684
Ansonia,900901220,2008,Government,Number,Number of Employers,19
Ansonia,900901220,2009,All Industries,Number,Annual Average Employment,3623
Ansonia,900901220,2009,All Industries,US Dollars,Annual Average Wage,36977
Ansonia,900901220,2009,All Industries,Number,Number of Employers,318
Ansonia,900901220,2009,Government,Number,Annual Average Employment,689
Ansonia,900901220,2009,Government,US Dollars,Annual Average Wage,49570
Ansonia,900901220,2009,Government,Number,Number of Employers,19
Ansonia,900901220,2010,All Industries,US Dollars,Annual Average Wage,35707
Ansonia,900901220,2010,All Industries,Number,Annual Average Employment,3918
Ansonia,900901220,2010,All Industries,Number,Number of Employers,302
Ansonia,900901220,2010,Government,Number,Annual Average Employment,765
Ansonia,900901220,2010,Government,US Dollars,Annual Average Wage,44942
Ansonia,900901220,2010,Government,Number,Number of Employers,17
Ansonia,900901220,2011,All Industries,Number,Number of Employers,306
Ansonia,900901220,2011,All Industries,Number,Annual Average Employment,3910
Ansonia,900901220,2011,All Industries,US Dollars,Annual Average Wage,37173
Ansonia,900901220,2011,Government,Number,Annual Average Employment,752
Ansonia,900901220,2011,Government,Number,Number of Employers,18
Ansonia,900901220,2011,Government,US Dollars,Annual Average Wage,47363
Ansonia,900901220,2012,All Industries,US Dollars,Annual Average Wage,37192
Ansonia,900901220,2012,All Industries,Number,Annual Average Employment,3794
Ansonia,900901220,2012,All Industries,Number,Number of Employers,311
Ansonia,900901220,2012,Government,US Dollars,Annual Average Wage,49158
Ansonia,900901220,2012,Government,Number,Annual Average Employment,709
Ansonia,900901220,2012,Government,Number,Number of Employers,19
Ansonia,900901220,2013,All Industries,Number,Number of Employers,300
Ansonia,900901220,2013,All Industries,Number,Annual Average Employment,3359
Ansonia,900901220,2013,All Industries,US Dollars,Annual Average Wage,38078
Ansonia,900901220,2013,Government,Number,Number of Employers,19
Ansonia,900901220,2013,Government,US Dollars,Annual Average Wage,48605
Ansonia,900901220,2013,Government,Number,Annual Average Employment,731
Ansonia,900901220,2014,All Industries,US Dollars,Annual Average Wage,38890
Ansonia,900901220,2014,All Industries,Number,Annual Average Employment,3371
Ansonia,900901220,2014,All Industries,Number,Number of Employers,307
Ansonia,900901220,2014,Government,Number,Number of Employers,19
Ansonia,900901220,2014,Government,US Dollars,Annual Average Wage,50055
Ansonia,900901220,2014,Government,Number,Annual Average Employment,734
Ansonia,900901220,2015,All Industries,Number,Annual Average Employment,3399
Ansonia,900901220,2015,All Industries,Number,Number of Employers,330
Ansonia,900901220,2015,All Industries,US Dollars,Annual Average Wage,39406
Ansonia,900901220,2015,Government,Number,Annual Average Employment,721
Ansonia,900901220,2015,Government,Number,Number of Employers,19
Ansonia,900901220,2015,Government,US Dollars,Annual Average Wage,52093
Ashford,901501430,2004,All Industries,Number,Number of Employers,58
Ashford,901501430,2004,All Industries,US Dollars,Annual Average Wage,24972
Ashford,901501430,2004,All Industries,Number,Annual Average Employment,469
Ashford,901501430,2004,Government,Number,Number of Employers,10
Ashford,901501430,2004,Government,US Dollars,Annual Average Wage,32670
Ashford,901501430,2004,Government,Number,Annual Average Employment,138
Ashford,901501430,2005,All Industries,US Dollars,Annual Average Wage,26098
Ashford,901501430,2005,All Industries,Number,Annual Average Employment,449
Ashford,901501430,2005,All Industries,Number,Number of Employers,59
Ashford,901501430,2005,Government,US Dollars,Annual Average Wage,33940
Ashford,901501430,2005,Government,Number,Annual Average Employment,137
Ashford,901501430,2005,Government,Number,Number of Employers,10
Ashford,901501430,2006,All Industries,Number,Annual Average Employment,455
Ashford,901501430,2006,All Industries,Number,Number of Employers,66
Ashford,901501430,2006,All Industries,US Dollars,Annual Average Wage,28062
Ashford,901501430,2006,Government,Number,Annual Average Employment,138
Ashford,901501430,2006,Government,Number,Number of Employers,13
Ashford,901501430,2006,Government,US Dollars,Annual Average Wage,35197
Ashford,901501430,2007,All Industries,US Dollars,Annual Average Wage,28784
Ashford,901501430,2007,All Industries,Number,Number of Employers,69
Ashford,901501430,2007,All Industries,Number,Annual Average Employment,483
Ashford,901501430,2007,Government,Number,Annual Average Employment,150
Ashford,901501430,2007,Government,US Dollars,Annual Average Wage,35338
Ashford,901501430,2007,Government,Number,Number of Employers,13
Ashford,901501430,2008,All Industries,US Dollars,Annual Average Wage,31583
Ashford,901501430,2008,All Industries,Number,Annual Average Employment,495
Ashford,901501430,2008,All Industries,Number,Number of Employers,75
Ashford,901501430,2008,Government,US Dollars,Annual Average Wage,37976
Ashford,901501430,2008,Government,Number,Annual Average Employment,149
Ashford,901501430,2008,Government,Number,Number of Employers,13
Ashford,901501430,2009,All Industries,Number,Annual Average Employment,504
Ashford,901501430,2009,All Industries,Number,Number of Employers,72
Ashford,901501430,2009,All Industries,US Dollars,Annual Average Wage,32102
Ashford,901501430,2009,Government,Number,Number of Employers,13
Ashford,901501430,2009,Government,Number,Annual Average Employment,153
Ashford,901501430,2009,Government,US Dollars,Annual Average Wage,39711
Ashford,901501430,2010,All Industries,Number,Annual Average Employment,495
Ashford,901501430,2010,All Industries,US Dollars,Annual Average Wage,31350
Ashford,901501430,2010,All Industries,Number,Number of Employers,73
Ashford,901501430,2010,Government,Number,Annual Average Employment,159
Ashford,901501430,2010,Government,US Dollars,Annual Average Wage,37884
Ashford,901501430,2010,Government,Number,Number of Employers,14
Ashford,901501430,2011,All Industries,Number,Number of Employers,75
Ashford,901501430,2011,All Industries,US Dollars,Annual Average Wage,31662
Ashford,901501430,2011,All Industries,Number,Annual Average Employment,513
Ashford,901501430,2011,Government,Number,Number of Employers,13
Ashford,901501430,2011,Government,Number,Annual Average Employment,164
Ashford,901501430,2011,Government,US Dollars,Annual Average Wage,37442
Ashford,901501430,2012,All Industries,US Dollars,Annual Average Wage,32936
Ashford,901501430,2012,All Industries,Number,Number of Employers,80
Ashford,901501430,2012,All Industries,Number,Annual Average Employment,537
Ashford,901501430,2012,Government,US Dollars,Annual Average Wage,37741
Ashford,901501430,2012,Government,Number,Annual Average Employment,166
Ashford,901501430,2012,Government,Number,Number of Employers,13
Ashford,901501430,2013,All Industries,Number,Number of Employers,80
Ashford,901501430,2013,All Industries,Number,Annual Average Employment,540
Ashford,901501430,2013,All Industries,US Dollars,Annual Average Wage,34654
Ashford,901501430,2013,Government,Number,Number of Employers,13
Ashford,901501430,2013,Government,Number,Annual Average Employment,164
Ashford,901501430,2013,Government,US Dollars,Annual Average Wage,38901
Ashford,901501430,2014,All Industries,US Dollars,Annual Average Wage,35680
Ashford,901501430,2014,All Industries,Number,Number of Employers,80
Ashford,901501430,2014,All Industries,Number,Annual Average Employment,570
Ashford,901501430,2014,Government,Number,Number of Employers,13
Ashford,901501430,2014,Government,US Dollars,Annual Average Wage,39617
Ashford,901501430,2014,Government,Number,Annual Average Employment,162
Ashford,901501430,2015,All Industries,Number,Annual Average Employment,558
Ashford,901501430,2015,All Industries,US Dollars,Annual Average Wage,36538
Ashford,901501430,2015,All Industries,Number,Number of Employers,85
Ashford,901501430,2015,Government,Number,Annual Average Employment,159
Ashford,901501430,2015,Government,US Dollars,Annual Average Wage,42470
Ashford,901501430,2015,Government,Number,Number of Employers,13
Avon,900302060,2004,All Industries,Number,Number of Employers,727
Avon,900302060,2004,All Industries,Number,Annual Average Employment,8864
Avon,900302060,2004,All Industries,US Dollars,Annual Average Wage,38129
Avon,900302060,2004,Government,Number,Annual Average Employment,724
Avon,900302060,2004,Government,Number,Number of Employers,18
Avon,900302060,2004,Government,US Dollars,Annual Average Wage,46993
Avon,900302060,2005,All Industries,Number,Number of Employers,739
Avon,900302060,2005,All Industries,Number,Annual Average Employment,7897
Avon,900302060,2005,All Industries,US Dollars,Annual Average Wage,43062
Avon,900302060,2005,Government,Number,Annual Average Employment,720
Avon,900302060,2005,Government,US Dollars,Annual Average Wage,48632
Avon,900302060,2005,Government,Number,Number of Employers,18
Avon,900302060,2006,All Industries,Number,Annual Average Employment,8094
Avon,900302060,2006,All Industries,Number,Number of Employers,736
Avon,900302060,2006,All Industries,US Dollars,Annual Average Wage,46903
Avon,900302060,2006,Government,Number,Number of Employers,18
Avon,900302060,2006,Government,Number,Annual Average Employment,733
Avon,900302060,2006,Government,US Dollars,Annual Average Wage,50017
Avon,900302060,2007,All Industries,US Dollars,Annual Average Wage,49209
Avon,900302060,2007,All Industries,Number,Annual Average Employment,8156
Avon,900302060,2007,All Industries,Number,Number of Employers,766
Avon,900302060,2007,Government,US Dollars,Annual Average Wage,51969
Avon,900302060,2007,Government,Number,Annual Average Employment,761
Avon,900302060,2007,Government,Number,Number of Employers,18
Avon,900302060,2008,All Industries,US Dollars,Annual Average Wage,50524
Avon,900302060,2008,All Industries,Number,Annual Average Employment,8261
Avon,900302060,2008,All Industries,Number,Number of Employers,769
Avon,900302060,2008,Government,US Dollars,Annual Average Wage,53223
Avon,900302060,2008,Government,Number,Annual Average Employment,749
Avon,900302060,2008,Government,Number,Number of Employers,18
Avon,900302060,2009,All Industries,Number,Annual Average Employment,7917
Avon,900302060,2009,All Industries,US Dollars,Annual Average Wage,48668
Avon,900302060,2009,All Industries,Number,Number of Employers,737
Avon,900302060,2009,Government,US Dollars,Annual Average Wage,54202
Avon,900302060,2009,Government,Number,Number of Employers,18
Avon,900302060,2009,Government,Number,Annual Average Employment,687
Avon,900302060,2010,All Industries,Number,Annual Average Employment,7926
Avon,900302060,2010,All Industries,Number,Number of Employers,715
Avon,900302060,2010,All Industries,US Dollars,Annual Average Wage,53279
Avon,900302060,2010,Government,Number,Annual Average Employment,724
Avon,900302060,2010,Government,US Dollars,Annual Average Wage,52734
Avon,900302060,2010,Government,Number,Number of Employers,18
Avon,900302060,2011,All Industries,Number,Number of Employers,720
Avon,900302060,2011,All Industries,Number,Annual Average Employment,8003
Avon,900302060,2011,All Industries,US Dollars,Annual Average Wage,54220
Avon,900302060,2011,Government,Number,Number of Employers,17
Avon,900302060,2011,Government,Number,Annual Average Employment,707
Avon,900302060,2011,Government,US Dollars,Annual Average Wage,54001
Avon,900302060,2012,All Industries,US Dollars,Annual Average Wage,51640
Avon,900302060,2012,All Industries,Number,Number of Employers,738
Avon,900302060,2012,All Industries,Number,Annual Average Employment,8367
Avon,900302060,2012,Government,US Dollars,Annual Average Wage,55912
Avon,900302060,2012,Government,Number,Annual Average Employment,725
Avon,900302060,2012,Government,Number,Number of Employers,17
Avon,900302060,2013,All Industries,Number,Number of Employers,740
Avon,900302060,2013,All Industries,Number,Annual Average Employment,8055
Avon,900302060,2013,All Industries,US Dollars,Annual Average Wage,50212
Avon,900302060,2013,Government,Number,Annual Average Employment,763
Avon,900302060,2013,Government,Number,Number of Employers,17
Avon,900302060,2013,Government,US Dollars,Annual Average Wage,59521
Avon,900302060,2014,All Industries,Number,Annual Average Employment,8014
Avon,900302060,2014,All Industries,US Dollars,Annual Average Wage,47761
Avon,900302060,2014,All Industries,Number,Number of Employers,749
Avon,900302060,2014,Government,Number,Number of Employers,17
Avon,900302060,2014,Government,US Dollars,Annual Average Wage,59327
Avon,900302060,2014,Government,Number,Annual Average Employment,791
Avon,900302060,2015,All Industries,Number,Annual Average Employment,8271
Avon,900302060,2015,All Industries,US Dollars,Annual Average Wage,48544
Avon,900302060,2015,All Industries,Number,Number of Employers,766
Avon,900302060,2015,Government,Number,Annual Average Employment,770
Avon,900302060,2015,Government,US Dollars,Annual Average Wage,61811
Avon,900302060,2015,Government,Number,Number of Employers,17
Barkhamsted,900502760,2004,All Industries,Number,Annual Average Employment,624
Barkhamsted,900502760,2004,All Industries,Number,Number of Employers,84
Barkhamsted,900502760,2004,All Industries,US Dollars,Annual Average Wage,33104
Barkhamsted,900502760,2004,Government,Number,Number of Employers,12
Barkhamsted,900502760,2004,Government,Number,Annual Average Employment,135
Barkhamsted,900502760,2004,Government,US Dollars,Annual Average Wage,41727
Barkhamsted,900502760,2005,All Industries,Number,Annual Average Employment,612
Barkhamsted,900502760,2005,All Industries,US Dollars,Annual Average Wage,32576
Barkhamsted,900502760,2005,All Industries,Number,Number of Employers,78
Barkhamsted,900502760,2005,Government,Number,Annual Average Employment,129
Barkhamsted,900502760,2005,Government,Number,Number of Employers,12
Barkhamsted,900502760,2005,Government,US Dollars,Annual Average Wage,41253
Barkhamsted,900502760,2006,All Industries,Number,Annual Average Employment,585
Barkhamsted,900502760,2006,All Industries,US Dollars,Annual Average Wage,33191
Barkhamsted,900502760,2006,All Industries,Number,Number of Employers,77
Barkhamsted,900502760,2006,Government,Number,Annual Average Employment,135
Barkhamsted,900502760,2006,Government,Number,Number of Employers,12
Barkhamsted,900502760,2006,Government,US Dollars,Annual Average Wage,41206
Barkhamsted,900502760,2007,All Industries,Number,Annual Average Employment,562
Barkhamsted,900502760,2007,All Industries,US Dollars,Annual Average Wage,33540
Barkhamsted,900502760,2007,All Industries,Number,Number of Employers,76
Barkhamsted,900502760,2007,Government,Number,Number of Employers,12
Barkhamsted,900502760,2007,Government,US Dollars,Annual Average Wage,43224
Barkhamsted,900502760,2007,Government,Number,Annual Average Employment,136
Barkhamsted,900502760,2008,All Industries,US Dollars,Annual Average Wage,32705
Barkhamsted,900502760,2008,All Industries,Number,Annual Average Employment,613
Barkhamsted,900502760,2008,All Industries,Number,Number of Employers,81
Barkhamsted,900502760,2008,Government,US Dollars,Annual Average Wage,45822
Barkhamsted,900502760,2008,Government,Number,Annual Average Employment,148
Barkhamsted,900502760,2008,Government,Number,Number of Employers,12
Barkhamsted,900502760,2009,All Industries,Number,Annual Average Employment,616
Barkhamsted,900502760,2009,All Industries,Number,Number of Employers,84
Barkhamsted,900502760,2009,All Industries,US Dollars,Annual Average Wage,37574
Barkhamsted,900502760,2009,Government,Number,Annual Average Employment,146
Barkhamsted,900502760,2009,Government,Number,Number of Employers,12
Barkhamsted,900502760,2009,Government,US Dollars,Annual Average Wage,51031
Barkhamsted,900502760,2010,All Industries,Number,Annual Average Employment,-9999
Barkhamsted,900502760,2010,All Industries,Number,Number of Employers,-9999
Barkhamsted,900502760,2010,All Industries,US Dollars,Annual Average Wage,-9999
Barkhamsted,900502760,2010,Government,US Dollars,Annual Average Wage,51195
Barkhamsted,900502760,2010,Government,Number,Number of Employers,12
Barkhamsted,900502760,2010,Government,Number,Annual Average Employment,149
Barkhamsted,900502760,2011,All Industries,Number,Number of Employers,81
Barkhamsted,900502760,2011,All Industries,Number,Annual Average Employment,1088
Barkhamsted,900502760,2011,All Industries,US Dollars,Annual Average Wage,30855
Barkhamsted,900502760,2011,Government,Number,Number of Employers,12
Barkhamsted,900502760,2011,Government,Number,Annual Average Employment,142
Barkhamsted,900502760,2011,Government,US Dollars,Annual Average Wage,55013
Barkhamsted,900502760,2012,All Industries,US Dollars,Annual Average Wage,30025
Barkhamsted,900502760,2012,All Industries,Number,Annual Average Employment,1145
Barkhamsted,900502760,2012,All Industries,Number,Number of Employers,82
Barkhamsted,900502760,2012,Government,US Dollars,Annual Average Wage,53222
Barkhamsted,900502760,2012,Government,Number,Annual Average Employment,135
Barkhamsted,900502760,2012,Government,Number,Number of Employers,12
Barkhamsted,900502760,2013,All Industries,Number,Number of Employers,76
Barkhamsted,900502760,2013,All Industries,US Dollars,Annual Average Wage,41117
Barkhamsted,900502760,2013,All Industries,Number,Annual Average Employment,597
Barkhamsted,900502760,2013,Government,Number,Number of Employers,12
Barkhamsted,900502760,2013,Government,US Dollars,Annual Average Wage,54433
Barkhamsted,900502760,2013,Government,Number,Annual Average Employment,130
Barkhamsted,900502760,2014,All Industries,Number,Number of Employers,81
Barkhamsted,900502760,2014,All Industries,US Dollars,Annual Average Wage,44111
Barkhamsted,900502760,2014,All Industries,Number,Annual Average Employment,574
Barkhamsted,900502760,2014,Government,US Dollars,Annual Average Wage,55182
Barkhamsted,900502760,2014,Government,Number,Annual Average Employment,131
Barkhamsted,900502760,2014,Government,Number,Number of Employers,11
Barkhamsted,900502760,2015,All Industries,Number,Annual Average Employment,555
Barkhamsted,900502760,2015,All Industries,Number,Number of Employers,89
Barkhamsted,900502760,2015,All Industries,US Dollars,Annual Average Wage,45994
Barkhamsted,900502760,2015,Government,Number,Annual Average Employment,129
Barkhamsted,900502760,2015,Government,Number,Number of Employers,11
Barkhamsted,900502760,2015,Government,US Dollars,Annual Average Wage,56706
Beacon Falls,900903250,2004,All Industries,Number,Number of Employers,105
Beacon Falls,900903250,2004,All Industries,US Dollars,Annual Average Wage,39656
Beacon Falls,900903250,2004,All Industries,Number,Annual Average Employment,906
Beacon Falls,900903250,2004,Government,Number,Number of Employers,12
Beacon Falls,900903250,2004,Government,US Dollars,Annual Average Wage,39531
Beacon Falls,900903250,2004,Government,Number,Annual Average Employment,250
Beacon Falls,900903250,2005,All Industries,Number,Annual Average Employment,841
Beacon Falls,900903250,2005,All Industries,Number,Number of Employers,111
Beacon Falls,900903250,2005,All Industries,US Dollars,Annual Average Wage,43587
Beacon Falls,900903250,2005,Government,Number,Annual Average Employment,240
Beacon Falls,900903250,2005,Government,US Dollars,Annual Average Wage,42595
Beacon Falls,900903250,2005,Government,Number,Number of Employers,17
Beacon Falls,900903250,2006,All Industries,US Dollars,Annual Average Wage,44109
Beacon Falls,900903250,2006,All Industries,Number,Annual Average Employment,883
Beacon Falls,900903250,2006,All Industries,Number,Number of Employers,112
Beacon Falls,900903250,2006,Government,Number,Annual Average Employment,250
Beacon Falls,900903250,2006,Government,US Dollars,Annual Average Wage,44395
Beacon Falls,900903250,2006,Government,Number,Number of Employers,18
Beacon Falls,900903250,2007,All Industries,US Dollars,Annual Average Wage,46027
Beacon Falls,900903250,2007,All Industries,Number,Annual Average Employment,1059
Beacon Falls,900903250,2007,All Industries,Number,Number of Employers,113
Beacon Falls,900903250,2007,Government,US Dollars,Annual Average Wage,43550
Beacon Falls,900903250,2007,Government,Number,Number of Employers,18
Beacon Falls,900903250,2007,Government,Number,Annual Average Employment,273
Beacon Falls,900903250,2008,All Industries,Number,Annual Average Employment,1044
Beacon Falls,900903250,2008,All Industries,US Dollars,Annual Average Wage,46309
Beacon Falls,900903250,2008,All Industries,Number,Number of Employers,112
Beacon Falls,900903250,2008,Government,US Dollars,Annual Average Wage,45370
Beacon Falls,900903250,2008,Government,Number,Number of Employers,18
Beacon Falls,900903250,2008,Government,Number,Annual Average Employment,287
Beacon Falls,900903250,2009,All Industries,Number,Annual Average Employment,887
Beacon Falls,900903250,2009,All Industries,Number,Number of Employers,108
Beacon Falls,900903250,2009,All Industries,US Dollars,Annual Average Wage,45317
Beacon Falls,900903250,2009,Government,Number,Number of Employers,18
Beacon Falls,900903250,2009,Government,Number,Annual Average Employment,290
Beacon Falls,900903250,2009,Government,US Dollars,Annual Average Wage,47191
Beacon Falls,900903250,2010,All Industries,Number,Annual Average Employment,942
Beacon Falls,900903250,2010,All Industries,Number,Number of Employers,113
Beacon Falls,900903250,2010,All Industries,US Dollars,Annual Average Wage,44632
Beacon Falls,900903250,2010,Government,Number,Annual Average Employment,294
Beacon Falls,900903250,2010,Government,US Dollars,Annual Average Wage,45362
Beacon Falls,900903250,2010,Government,Number,Number of Employers,18
Beacon Falls,900903250,2011,All Industries,Number,Number of Employers,115
Beacon Falls,900903250,2011,All Industries,US Dollars,Annual Average Wage,45422
Beacon Falls,900903250,2011,All Industries,Number,Annual Average Employment,929
Beacon Falls,900903250,2011,Government,Number,Number of Employers,17
Beacon Falls,900903250,2011,Government,Number,Annual Average Employment,275
Beacon Falls,900903250,2011,Government,US Dollars,Annual Average Wage,46634
Beacon Falls,900903250,2012,All Industries,US Dollars,Annual Average Wage,46405
Beacon Falls,900903250,2012,All Industries,Number,Annual Average Employment,855
Beacon Falls,900903250,2012,All Industries,Number,Number of Employers,113
Beacon Falls,900903250,2012,Government,Number,Annual Average Employment,280
Beacon Falls,900903250,2012,Government,US Dollars,Annual Average Wage,44607
Beacon Falls,900903250,2012,Government,Number,Number of Employers,17
Beacon Falls,900903250,2013,All Industries,Number,Annual Average Employment,843
Beacon Falls,900903250,2013,All Industries,US Dollars,Annual Average Wage,49029
Beacon Falls,900903250,2013,All Industries,Number,Number of Employers,114
Beacon Falls,900903250,2013,Government,Number,Annual Average Employment,280
Beacon Falls,900903250,2013,Government,Number,Number of Employers,17
Beacon Falls,900903250,2013,Government,US Dollars,Annual Average Wage,49147
Beacon Falls,900903250,2014,All Industries,US Dollars,Annual Average Wage,52608
Beacon Falls,900903250,2014,All Industries,Number,Annual Average Employment,867
Beacon Falls,900903250,2014,All Industries,Number,Number of Employers,116
Beacon Falls,900903250,2014,Government,Number,Annual Average Employment,272
Beacon Falls,900903250,2014,Government,US Dollars,Annual Average Wage,50839
Beacon Falls,900903250,2014,Government,Number,Number of Employers,17
Beacon Falls,900903250,2015,All Industries,Number,Number of Employers,129
Beacon Falls,900903250,2015,All Industries,Number,Annual Average Employment,912
Beacon Falls,900903250,2015,All Industries,US Dollars,Annual Average Wage,56344
Beacon Falls,900903250,2015,Government,Number,Number of Employers,17
Beacon Falls,900903250,2015,Government,Number,Annual Average Employment,278
Beacon Falls,900903250,2015,Government,US Dollars,Annual Average Wage,52272
Berlin,900304300,2004,All Industries,US Dollars,Annual Average Wage,45661
Berlin,900304300,2004,All Industries,Number,Number of Employers,669
Berlin,900304300,2004,All Industries,Number,Annual Average Employment,11379
Berlin,900304300,2004,Government,Number,Number of Employers,17
Berlin,900304300,2004,Government,US Dollars,Annual Average Wage,46304
Berlin,900304300,2004,Government,Number,Annual Average Employment,752
Berlin,900304300,2005,All Industries,Number,Number of Employers,683
Berlin,900304300,2005,All Industries,Number,Annual Average Employment,11389
Berlin,900304300,2005,All Industries,US Dollars,Annual Average Wage,46159
